Bit Width,Algorithm,Execution Time,CPU Usage,Memory Usage
256,Barrett,6.699992809444666e-06,14.8,26.203125
256,Montgomery,4.4000043999403715e-06,14.4,26.203125
256,Barrett,8.599978173151612e-06,15.9,26.203125
256,Montgomery,4.8000074457377195e-06,15.8,26.203125
256,Barrett,7.599999662488699e-06,14.2,26.203125
256,Montgomery,5.89998671784997e-06,13.7,26.28125
256,Barrett,6.89999433234334e-06,14.3,26.28515625
256,Montgomery,4.6000059228390455e-06,13.4,26.29296875
256,Barrett,7.90000194683671e-06,16.3,26.296875
256,Montgomery,5.2000104915350676e-06,14.3,26.296875
256,Barrett,7.099995855242014e-06,14.0,26.296875
256,Montgomery,5.0000089686363935e-06,13.6,26.296875
256,Barrett,6.699992809444666e-06,14.2,26.296875
256,Montgomery,4.2000028770416975e-06,15.5,26.296875
256,Barrett,7.199996616691351e-06,14.5,26.296875
256,Montgomery,4.5000051613897085e-06,16.3,26.296875
256,Barrett,1.0600022505968809e-05,13.3,26.296875
256,Montgomery,5.599984433501959e-06,14.4,26.296875
256,Barrett,8.600007276982069e-06,19.0,26.296875
256,Montgomery,4.9000082071870565e-06,19.5,26.296875
256,Barrett,1.09999964479357e-05,13.7,26.30078125
256,Montgomery,1.0399991879239678e-05,13.9,26.3046875
256,Barrett,7.099995855242014e-06,12.9,26.3046875
256,Montgomery,5.0000089686363935e-06,15.6,26.36328125
256,Barrett,8.199975127354264e-06,13.8,26.36328125
256,Montgomery,4.6000059228390455e-06,14.1,26.36328125
256,Barrett,7.599999662488699e-06,16.2,26.36328125
256,Montgomery,4.5000051613897085e-06,14.5,26.36328125
256,Barrett,1.3200013199821115e-05,14.9,26.44140625
256,Montgomery,2.400000812485814e-05,15.4,26.4609375
256,Barrett,6.799993570894003e-06,14.2,26.4609375
256,Montgomery,4.1000021155923605e-06,16.2,26.4609375
256,Barrett,8.500006515532732e-06,13.6,26.4609375
256,Montgomery,4.9000082071870565e-06,14.1,26.4609375
256,Barrett,8.300004992634058e-06,15.4,26.4609375
256,Montgomery,4.999979864805937e-06,15.9,26.4609375
256,Barrett,6.799993570894003e-06,13.6,26.4609375
256,Montgomery,4.7000066842883825e-06,13.7,26.4609375
256,Barrett,7.599999662488699e-06,14.1,26.4609375
256,Montgomery,4.5000051613897085e-06,19.3,26.4609375
256,Barrett,7.899972843006253e-06,15.3,26.4609375
256,Montgomery,4.9000082071870565e-06,13.8,26.4609375
256,Barrett,7.90000194683671e-06,13.3,26.4609375
256,Montgomery,5.199981387704611e-06,15.7,26.4609375
256,Barrett,7.199996616691351e-06,18.9,26.4609375
256,Montgomery,4.8000074457377195e-06,14.1,26.4609375
256,Barrett,7.300026481971145e-06,21.2,26.4609375
256,Montgomery,4.599976819008589e-06,22.3,26.4609375
256,Barrett,1.0899995686486363e-05,20.5,26.4609375
256,Montgomery,6.599992047995329e-06,23.4,26.4609375
256,Barrett,8.600007276982069e-06,21.3,26.4609375
256,Montgomery,5.099980626255274e-06,15.0,26.4609375
256,Barrett,1.1900003300979733e-05,14.4,26.4609375
256,Montgomery,6.699992809444666e-06,14.5,26.4609375
256,Barrett,6.699992809444666e-06,14.0,26.4609375
256,Montgomery,4.1000021155923605e-06,16.4,26.4609375
256,Barrett,7.299997378140688e-06,14.1,26.4609375
256,Montgomery,4.4000043999403715e-06,13.6,26.4609375
256,Barrett,7.199996616691351e-06,13.7,26.4609375
256,Montgomery,4.3000036384910345e-06,16.4,26.4609375
256,Barrett,8.400005754083395e-06,15.5,26.4609375
256,Montgomery,4.8000074457377195e-06,13.3,26.4609375
256,Barrett,7.399998139590025e-06,15.5,26.4609375
256,Montgomery,4.4000043999403715e-06,14.5,26.4609375
256,Barrett,6.599992047995329e-06,20.9,26.46484375
256,Montgomery,4.3000036384910345e-06,21.7,26.46484375
256,Barrett,8.400005754083395e-06,23.0,26.46484375
256,Montgomery,5.3000112529844046e-06,24.4,26.46484375
256,Barrett,8.400005754083395e-06,33.4,26.46484375
