Bit Width (bits),Algorithm,Execution Time (ms),CPU Usage (%),Memory Usage (MiB)
512,Montgomery,0.005400012014433742,14.8,26.515625
512,Barrett,0.008600007276982069,13.6,26.515625
512,Montgomery,0.005999987479299307,14.7,26.515625
512,Barrett,0.009399984264746308,13.9,26.515625
512,Montgomery,0.006299989763647318,15.9,26.515625
512,Barrett,0.007599999662488699,14.0,26.515625
512,Montgomery,0.005199981387704611,14.0,26.515625
512,Barrett,0.00790000194683671,13.4,26.515625
512,Montgomery,0.005299982149153948,13.9,26.515625
512,Barrett,0.009099981980398296,16.6,26.515625
512,Montgomery,0.006000016583129764,14.0,26.515625
512,Barrett,0.007499998901039362,13.7,26.515625
512,Montgomery,0.005399982910603285,15.0,26.515625
512,Barrett,0.010799994925037026,15.5,26.515625
512,Montgomery,0.007099995855242014,14.4,26.515625
512,Barrett,0.007499998901039362,16.8,26.515625
512,Montgomery,0.005499983672052622,13.8,26.515625
512,Barrett,0.007399998139590025,13.7,26.515625
512,Montgomery,0.005600013537332416,13.8,26.515625
512,Barrett,0.008500006515532732,14.5,26.515625
512,Montgomery,0.005700014298781753,17.1,26.515625
512,Barrett,0.007199996616691351,13.7,26.51953125
512,Montgomery,0.005999987479299307,13.9,26.51953125
512,Barrett,0.00799997360445559,13.1,26.51953125
512,Montgomery,0.0053000112529844046,14.6,26.51953125
512,Barrett,0.030700000934302807,17.7,26.51953125
512,Montgomery,0.008200004231184721,16.0,26.51953125
512,Barrett,0.006400019628927112,15.5,26.51953125
512,Montgomery,0.005299982149153948,13.9,26.51953125
512,Barrett,0.008100003469735384,13.5,26.51953125
512,Montgomery,0.0053000112529844046,15.3,26.51953125
512,Barrett,0.008000002708286047,13.9,26.51953125
512,Montgomery,0.00689999433234334,13.8,26.51953125
512,Barrett,0.010199990356341004,14.3,26.51953125
512,Montgomery,0.006599992047995329,13.8,26.51953125
512,Barrett,0.007300026481971145,14.0,26.51953125
512,Montgomery,0.0055000127758830794,16.5,26.51953125
512,Barrett,0.00899998121894896,16.2,26.51953125
512,Montgomery,0.006700021913275123,13.6,26.5234375
512,Barrett,0.007499998901039362,15.0,26.5234375
512,Montgomery,0.0053000112529844046,14.2,26.5234375
512,Barrett,0.007199996616691351,15.3,26.5234375
512,Montgomery,0.005200010491535068,15.1,26.5234375
512,Barrett,0.007299997378140688,13.9,26.5234375
512,Montgomery,0.006099988240748644,14.3,26.5234375
512,Barrett,0.007499998901039362,13.6,26.5234375
512,Montgomery,0.005799985956400633,15.4,26.5234375
512,Barrett,0.01069999416358769,13.6,26.5234375
512,Montgomery,0.00589998671784997,13.7,26.5234375
512,Barrett,0.007199996616691351,14.9,26.5234375
512,Montgomery,0.0049000082071870565,13.5,26.5234375
512,Barrett,0.007899972843006253,14.9,26.5234375
512,Montgomery,0.00580001506023109,16.8,26.5234375
512,Barrett,0.008200004231184721,14.0,26.5234375
512,Montgomery,0.006099988240748644,14.0,26.5234375
512,Barrett,0.008800008799880743,13.3,26.5234375
512,Montgomery,0.006099988240748644,15.5,26.5234375
512,Barrett,0.008000002708286047,13.3,26.5234375
512,Montgomery,0.005499983672052622,15.6,26.5234375
512,Barrett,0.007399998139590025,14.0,26.5234375
512,Montgomery,0.0053000112529844046,13.2,26.5234375
512,Barrett,0.008400005754083395,13.7,26.5234375
512,Montgomery,0.006000016583129764,15.3,26.5234375
512,Barrett,0.007700000423938036,14.3,26.5234375
512,Montgomery,0.005999987479299307,14.6,26.5234375
512,Barrett,0.008499977411702275,14.1,26.5234375
512,Montgomery,0.0055000127758830794,14.3,26.4921875
512,Barrett,0.007800001185387373,15.6,26.4921875
512,Montgomery,0.006100017344579101,15.1,26.4921875
512,Barrett,0.007499998901039362,13.9,26.4921875
512,Montgomery,0.005700014298781753,13.5,26.4921875
512,Barrett,0.008599978173151612,13.3,26.49609375
512,Montgomery,0.00680002267472446,16.5,26.49609375
512,Barrett,0.007700000423938036,15.0,26.49609375
512,Montgomery,0.005099980626255274,15.4,26.49609375
512,Barrett,0.008100003469735384,14.0,26.49609375
512,Montgomery,0.006299989763647318,14.1,26.49609375
512,Barrett,0.008600007276982069,14.6,26.49609375
512,Montgomery,0.007499998901039362,16.8,26.49609375
512,Barrett,0.008700008038431406,13.7,26.49609375
512,Montgomery,0.005900015821680427,13.5,26.49609375
512,Barrett,0.007300026481971145,13.5,26.5
512,Montgomery,0.0051000097300857306,14.0,26.5
512,Barrett,0.00790000194683671,15.5,26.5
512,Montgomery,0.0051000097300857306,14.3,26.5
512,Barrett,0.007599999662488699,13.6,26.5
512,Montgomery,0.005099980626255274,13.6,26.5
512,Barrett,0.007499998901039362,13.6,26.5
512,Montgomery,0.005199981387704611,16.5,26.5
512,Barrett,0.006799993570894003,13.6,26.5
512,Montgomery,0.005400012014433742,14.9,26.5
512,Barrett,0.02410000888630748,13.0,26.5
512,Montgomery,0.006300018867477775,13.6,26.5
512,Barrett,0.007299997378140688,15.4,26.5
512,Montgomery,0.0053000112529844046,15.7,26.5
512,Barrett,0.007299997378140688,14.2,26.5
512,Montgomery,0.006299989763647318,15.0,26.5
